node_id,clustering_coefficient
Dugin_Aleksandr,0.5
angrysaffron,0.5
ladyinfQrmd,0.5
PatAltSW,0.5
deutschlandstehtauf,0.5
SETexasProudBoys,0.5
official_fireduptxlawyer,0.5
joeldavisx,0.5
MO_Can,0.5
TruthExposedSA,0.5
FaireTesRecherches,0.5
PIkanewchannel,0.5
TechnocraticNW,0.5
triggereveryone,0.5
lucindaribeiro_pt,0.5
JasonLiosatosOutsideTheBox,0.5
worldwire,0.5
theambermayshow,0.5
AlexJonesTherapist,0.5
newscritical,0.5
PennsylvaniaAudit,0.5
ancreport,0.5
GBBNews23,0.5
canalartedaguerra,0.5
mattbelair,0.5
watch547q,0.5
martinezpolitix,0.5
TheQFile,0.5
BasedDataWV,0.5
happilyeverafter48,0.5
St_michaels_operations,0.5
whisperoftruth,0.5
TexasNationalistNetwork,0.5
AuditWINews,0.5
rtnews,0.5
JuicyFruitForest,0.5
EnochsNewsBlast,0.4727272727272727
GeneralFlynnExposed,0.4725274725274725
TheTrumpist,0.4666666666666667
Pi_An0n,0.4666666666666667
ArizonaRedRoots,0.45614035087719296
sitreports,0.45
manniefabian,0.45
pookzta,0.45
imglover13THGENPATRIOT,0.44761904761904764
pravdaGerashchenko_en,0.43386243386243384
iGuruDevi,0.43333333333333335
TeslaStockWatch,0.4298941798941799
exposingthelies,0.42857142857142855
TwilightLastGleaming,0.42727272727272725
ArkansasGroyper1,0.4222222222222222
AFPP_US,0.41911764705882354
erinhealthnutnews,0.41830065359477125
presstv,0.4166666666666667
levangudadzeopinion,0.4166666666666667
midwest_intel,0.4166666666666667
awakened_144000,0.4117647058823529
Cat_The_Great,0.4109848484848485
trumprepublicans,0.4103448275862069
ConservativeDaily,0.4095238095238095
TheBlazeTV,0.4093567251461988
trooper_channel,0.4090909090909091
leohohmann,0.4015151515151515
mgshowchannel,0.4002016129032258
no2vaccine,0.4
brienjames,0.4
patriotforceca,0.4
bubbakate2,0.4
PepeMatter,0.38146167557932265
MDeLaBrox,0.38095238095238093
environmental_updates,0.38095238095238093
TheHighWire,0.3803418803418803
techcrimes,0.3781609195402299
jeffrey_peterson,0.37662337662337664
indianhate,0.375
NEVoterAccuracyProject,0.375
covid19negativereactions,0.3717948717948718
wethepatriotsusa,0.37142857142857144
nickmon1112,0.3712121212121212
Johnnys_hideout,0.3712121212121212
ArizonaAuditLiveFeeds,0.36333333333333334
freestatecolorado,0.358695652173913
ALoneRaccoon,0.3572938689217759
EARTH20GENESIS,0.35714285714285715
Brandenburg4MI,0.35591397849462364
Owen_Shroyer,0.35327635327635326
BrittRepublican,0.35160575858250276
TexasPB,0.35
GeoChem,0.35
UkPatriotsForFreedom,0.3458333333333333
stewpeters,0.34415584415584416
Fighting4_AZ,0.3403019744483159
WokeSocieties,0.3399715504978663
MadisonCawthorn,0.3399715504978663
usvoterfraud,0.33986928104575165
covidvaxinjury,0.33974358974358976
SGTnewsNetwork,0.33782051282051284
SpecialQForces,0.3375
Blazenherb,0.3335095137420719
Targeted_Individuals,0.3333333333333333
News4AChange,0.3333333333333333
PatrioticChris,0.3333333333333333
LiveFreeOrDie_au_nz,0.3333333333333333
felixrex,0.3333333333333333
southafricanminorityunion,0.3333333333333333
qclarence,0.3333333333333333
DiogoCohea,0.3333333333333333
ThePrisonersRecord,0.33214793741109533
ConsciousM8rix,0.3315508021390374
ElectionFraud20_org,0.3278805120910384
NoVaccineCoercion,0.32727272727272727
ElectionEducation,0.3253968253968254
HOTWisconsin,0.32378048780487806
NewMexicoAuditForce,0.31507936507936507
TheWashingtonPundit,0.3138606676342525
rockymountain_intel,0.3119047619047619
GAelectionaudit,0.3074074074074074
blacklistedresearch,0.3063063063063063
utahfreedomcoalition,0.3057471264367816
truthpills2023,0.3
JAMESGODDARDNEWS2,0.3
SeniorChaplain,0.3
bleibtstark,0.3
Chossingston,0.3
AmericasAuditForce,0.29955703211517165
DoctorQsBoomBox,0.2992021276595745
eastcoast_intel,0.29603174603174603
SSG_Cue,0.2960030165912519
stormypatriotjoe21,0.29508196721311475
Airstrip1news,0.295
PatriotArmy,0.2926829268292683
NevsChannel,0.2849210987726476
TruthHammer,0.2838983050847458
thevoiduk,0.2833333333333333
WorldWarNowTele,0.2818181818181818
piratejohn1,0.2807971014492754
PearFEED,0.28024547048509646
Davidscave,0.2796234772978959
Inspectorrhynos,0.2777777777777778
RSN04,0.2761904761904762
